,LLM_o_library_o_human_epoch_20241013_234441,LLM_o_library_o_human_epoch_20241013_234439,LLM_o_library_o_human_epoch_20241013_232256,LLM_o_library_o_human_average,our_w_library_o_human_epoch_20241014_050125,our_w_library_o_human_epoch_20241014_050122,our_w_library_o_human_epoch_20241014_050123,our_w_library_o_human_average
cdl_dataset/dataset/Iron_clothes/g4.txt,0.133,0.0,0.133,0.089,0.0,0.133,0.0,0.044
cdl_dataset/dataset/Iron_clothes/g5.txt,0.074,0.074,0.0,0.049,0.0,0.0,0.037,0.012
cdl_dataset/dataset/Listen_to_music/g1.txt,0.333,0.333,0.833,0.5,0.333,0.333,0.333,0.333
cdl_dataset/dataset/Listen_to_music/g2.txt,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
cdl_dataset/dataset/Make_coffee/g1.txt,1.0,0.5,1.0,0.833,0.0,0.0,0.25,0.083
cdl_dataset/dataset/Make_coffee/g2.txt,0.0,0.737,0.0,0.246,0.0,0.158,0.0,0.053
cdl_dataset/dataset/Pet_cat/g1.txt,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333
cdl_dataset/dataset/Pet_cat/g2.txt,0.222,0.333,1.0,0.518,0.833,0.0,0.0,0.278
cdl_dataset/dataset/Pet_cat/g3.txt,0.0,0.0,0.364,0.121,0.909,0.909,0.545,0.788
cdl_dataset/dataset/Pet_cat/g4.txt,1.0,0.333,0.333,0.555,1.0,0.0,1.0,0.667
cdl_dataset/dataset/Pet_cat/g5.txt,0.222,0.0,0.111,0.111,0.0,0.0,0.0,0.0
cdl_dataset/dataset/Prepare_a_reading_space/g1.txt,0.0,1.0,1.0,0.667,0.25,1.0,1.0,0.75
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,0.333,0.333,0.667,0.444,0.0,0.333,0.333,0.222
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,0.833,0.0,0.833,0.555,0.667,0.833,0.667,0.722
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,0.767,0.7,0.7,0.722,0.133,0.7,0.233,0.355
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.833
cdl_dataset/dataset/Prepare_breakfast/g1.txt,0.6,0.067,0.0,0.222,0.733,0.867,1.0,0.867
cdl_dataset/dataset/Prepare_breakfast/g2.txt,0.0,0.133,0.267,0.133,0.0,0.2,0.0,0.067
cdl_dataset/dataset/Prepare_breakfast/g3.txt,1.0,0.0,0.4,0.467,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Prepare_breakfast/g4.txt,0.0,0.0,0.0,0.0,0.0,0.349,0.0,0.116
cdl_dataset/dataset/Prepare_dinner/g1.txt,0.471,0.706,0.0,0.392,0.294,0.0,0.353,0.216
cdl_dataset/dataset/Prepare_dinner/g2.txt,0.067,0.0,0.0,0.022,0.0,0.2,0.0,0.067
cdl_dataset/dataset/Prepare_dinner/g3.txt,0.267,0.333,0.333,0.311,0.2,0.0,0.6,0.267
cdl_dataset/dataset/Prepare_dinner/g4.txt,0.056,0.0,0.056,0.037,0.028,0.917,0.417,0.454
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,0.217,0.217,0.087,0.174,1.0,0.13,0.13,0.42
cdl_dataset/dataset/Put_groceries_in_Fridge/g2.txt,0.4,0.511,0.422,0.444,0.0,0.911,0.467,0.459
cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt,0.262,0.262,0.085,0.203,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,0.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Turn_on_light/g1.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Turn_on_light/g2.txt,0.5,1.0,0.5,0.667,0.5,1.0,1.0,0.833
cdl_dataset/dataset/Turn_on_light/g3.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Vacuum_the_living_room/g1.txt,0.0,0.0,0.667,0.222,0.333,0.0,0.0,0.111
cdl_dataset/dataset/Wash_clothes/g1.txt,0.0,0.048,0.0,0.016,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Wash_clothes/g2.txt,0.04,0.04,0.0,0.027,0.12,0.12,0.12,0.12
cdl_dataset/dataset/Wash_clothes/g3.txt,1.0,1.0,0.0,0.667,0.333,1.0,1.0,0.778
cdl_dataset/dataset/Wash_clothes/g4.txt,,0.733,0.0,0.366,1.0,0.667,0.6,0.756
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,0.5,0.625,0.625,0.583,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,0.636,0.273,0.409,0.439,0.0,0.0,1.0,0.333
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt,0.875,0.5,0.5,0.625,0.333,1.0,0.625,0.653
cdl_dataset/dataset/Wash_windows/g1.txt,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
cdl_dataset/dataset/Wash_windows/g2.txt,0.0,0.0,0.667,0.222,0.0,0.0,0.0,0.0
cdl_dataset/dataset/Write_an_email/g1.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Write_an_email/g2.txt,0.667,0.667,0.667,0.667,,0.333,0.333,0.333
cdl_dataset/dataset/Write_an_email/g3.txt,0.667,0.0,0.667,0.445,0.333,0.667,0.333,0.444
cdl_dataset/dataset/make_up_bed/g3.txt,0.714,0.714,0.429,0.619,1.0,1.0,1.0,1.0
