cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon.,"['walk_executor(kitchen_counter_129)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)'
, 'open_executor(fridge_140)', 'grab_executor(food_bacon_2044)', 'walk_executor(fryingpan_2107)', 'p
ut_executor(food_bacon_2044, fryingpan_2107)', 'walk_executor(oil_2102)', 'grab_executor(oil_2102)',
 'walk_executor(fryingpan_2107)', 'put_executor(oil_2102, fryingpan_2107)', 'grab_executor(fryingpan
_2107)', 'walk_executor(stove_2090)', 'put_executor(fryingpan_2107, stove_2090)', 'switchon_executor
(stove_2090)']","Time consume: 52 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 8","Keystate: k1 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'walk_executor(sink_19)', 'scrub_execut
or(sink_19)', 'walk_executor(faucet_20)', 'switchoff_executor(faucet_20)']","Time consume: 25 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 9",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(dining_room_1)', 'walk_executor(bedroom_220)', 'walk_executor(bathroom_265)', 'walk_
executor(bedroom_327)', 'walk_executor(dining_room_1)', 'walk_executor(bedroom_220)', 'walk_executor
(bathroom_265)', 'walk_executor(bedroom_327)', 'walk_executor(light_49)', 'switchon_executor(light_4
9)', 'walk_executor(light_258)', 'switchon_executor(light_258)', 'walk_executor(light_325)', 'switch
on_executor(light_325)', 'walk_executor(light_384)', 'switchon_executor(light_384)']","Time consume: 36 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 9","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(ironing_board_2144)', 'walk_executor(dresser_274)', 'open_executor(dresser_274)', 'w
alk_executor(light_212)', 'walk_executor(stamp_2043)', 'walk_executor(nightstand_192)', 'walk_execut
or(window_191)', 'open_executor(window_191)', 'walk_executor(headset_2146)', 'walk_executor(bookshel
f_124)', 'open_executor(bookshelf_124)', 'walk_executor(cd_2145)', 'walk_executor(dishwasher_129)', 
'open_executor(dishwasher_129)', 'walk_executor(washing_machine_2079)', 'open_executor(washing_machi
ne_2079)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)
', 'walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_shirt_2158)', 'walk_executor(iro
ning_board_2144)', 'put_executor(clothes_shirt_2158, ironing_board_2144)', 'walk_executor(clothes_sk
irt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(ironing_board_2144)', 'put_executor(
clothes_skirt_2160, ironing_board_2144)', 'walk_executor(kitchen_counter_122)', 'walk_executor(kitch
en_counter_123)', 'walk_executor(kitchen_counter_119)', 'walk_executor(cupboard_118)', 'open_executo
r(cupboard_118)', 'walk_executor(bowl_2142)', 'walk_executor(iron_2161)', 'plugin_executor(iron_2161
)', 'switchon_executor(iron_2161)', 'walk_executor(clothes_shirt_2158)', 'wash_executor(clothes_shir
t_2158)', 'walk_executor(clothes_skirt_2160)', 'wash_executor(clothes_skirt_2160)', 'walk_executor(i
ron_2161)', 'grab_executor(iron_2161)', 'push_executor(iron_2161)', 'pull_executor(iron_2161)', 'pus
h_executor(iron_2161)', 'pull_executor(iron_2161)']","Time consume: 295 seconds
Exp_helper query times: 3
Guidance query times: 2
library scale: 9","Keystate: k1 - Requires: 2 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'wash_executor(sink_42)']","Time consume: 9 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10",1,Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Get a cup of water and freeze it.,"['walk_executor(table_107)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_
executor(cup_2063)', 'walk_executor(sink_42)', 'putin_executor(cup_2063, sink_42)', 'walk_executor(f
aucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'w
alk_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(fridge_289)', 'switchoff_e
xecutor(fridge_289)', 'open_executor(fridge_289)', 'putin_executor(cup_2063, fridge_289)', 'close_ex
ecutor(fridge_289)']","Time consume: 27 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in bedroom. Then turn on the light in the bedroom.,[],"Time consume: 179 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 11","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Boil egg.,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(kitchen_counter_119)',
 'walk_executor(pot_2138)', 'grab_executor(pot_2138)', 'walk_executor(sink_19)', 'putin_executor(pot
_2138, sink_19)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'walk_executor(pot_213
8)', 'grab_executor(pot_2138)', 'walk_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_e
xecutor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(
sink_19)', 'putin_executor(pot_2138, sink_19)', 'walk_executor(faucet_20)', 'switchon_executor(fauce
t_20)', 'walk_executor(pot_2138)', 'grab_executor(pot_2138)', 'walk_executor(faucet_20)', 'switchoff
_executor(faucet_20)', 'walk_executor(pot_2138)', 'open_executor(pot_2138)', 'walk_executor(food_egg
_2092)', 'grab_executor(food_egg_2092)', 'walk_executor(pot_2138)', 'putin_executor(food_egg_2092, p
ot_2138)', 'walk_executor(oven_127)', 'put_executor(pot_2138, oven_127)', 'switchon_executor(oven_12
7)']","Time consume: 60 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11","Keystate: k1 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_258)', 'switchon_executor(light_258)']","Time consume: 12 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(home_office_241)', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', '
walk_executor(book_2136)', 'open_executor(book_2136)', 'walk_executor(book_2137)', 'open_executor(bo
ok_2137)', 'walk_executor(bookshelf_124)', 'walk_executor(bookshelf_196)', 'open_executor(bookshelf_
196)', 'walk_executor(novel_2060)', 'open_executor(novel_2060)', 'walk_executor(bookshelf_275)', 'wa
lk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_
2136, table_270)', 'walk_executor(window_310)', 'open_executor(window_310)']","Time consume: 200 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 13",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(dining_room_41)', 'walk_executor(dining_room_41)', 'walk_executor(bathroom_1)', 'wal
k_executor(dining_room_41)', 'walk_executor(bedroom_162)', 'walk_executor(home_office_241)', 'walk_e
xecutor(light_39)', 'switchon_executor(light_39)', 'walk_executor(light_73)', 'switchon_executor(lig
ht_73)', 'walk_executor(light_212)', 'switchon_executor(light_212)', 'walk_executor(light_283)', 'sw
itchon_executor(light_283)']","Time consume: 89 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 15",1,Scene_id: 1
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(closetdrawer_116)', 'walk_executor(closetdrawer_160)', 'walk_executor(closetdrawer_1
54)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_118)', 'walk_executor(closetdra
wer_117)', 'walk_executor(sink_42)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(washin
g_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(clothes_pants_2085)', 'grab_
executor(clothes_pants_2085)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_pants_
2085, washing_machine_2007)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086
)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_shirt_2086, washing_machine_2007)
', 'walk_executor(clothes_socks_2087)', 'grab_executor(clothes_socks_2087)', 'walk_executor(washing_
machine_2007)', 'putin_executor(clothes_socks_2087, washing_machine_2007)', 'walk_executor(clothes_s
kirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(washing_machine_2007)', 'putin_exec
utor(clothes_skirt_2088, washing_machine_2007)', 'close_executor(washing_machine_2007)', 'plugin_exe
cutor(washing_machine_2007)', 'switchon_executor(washing_machine_2007)']","Time consume: 78 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 17",1,Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Syntax Error,"['walk_executor(couch_198)', 'walk_executor(couch_269)', 'walk_executor(cat_2069)', 'grab_executor(c
at_2069) (Failed)']","Time consume: 209 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 17","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,Put cleaning solution in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(kitchen_counter_129)',
 'walk_executor(kitchen_counter_132)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_14
3)', 'walk_executor(cupboard_130)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', '
open_executor(fridge_140)', 'walk_executor(sink_133)', 'walk_executor(cleaning_solution_2098)', 'gra
b_executor(cleaning_solution_2098)', 'walk_executor(dishwasher_143)', 'putin_executor(cleaning_solut
ion_2098, dishwasher_143)', 'walk_executor(wallshelf_191)', 'walk_executor(tray_142)', 'walk_executo
r(wallshelf_190)', 'walk_executor(wallshelf_187)', 'walk_executor(wallshelf_301)', 'walk_executor(ta
ble_123)', 'walk_executor(bowl_2095)', 'grab_executor(bowl_2095)', 'walk_executor(dishwasher_143)', 
'putin_executor(bowl_2095, dishwasher_143)', 'walk_executor(table_123)', 'walk_executor(table_127)',
 'walk_executor(bowl_2096)', 'grab_executor(bowl_2096)', 'walk_executor(dishwasher_143)', 'putin_exe
cutor(bowl_2096, dishwasher_143)', 'walk_executor(bowl_2097)', 'grab_executor(bowl_2097)', 'walk_exe
cutor(dishwasher_143)', 'putin_executor(bowl_2097, dishwasher_143)', 'close_executor(dishwasher_143)
', 'switchon_executor(dishwasher_143)']","Time consume: 158 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 17","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Wash_windows/g1.txt,Open the windows in the bathroom.,"['walk_executor(window_287)', 'open_executor(window_287)']","Time consume: 8 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 18",1,Scene_id: 2
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash the bowls and the plates with dishwasher,"['walk_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(wallshelf_23
5)', 'walk_executor(wallshelf_234)', 'walk_executor(wallshelf_35)', 'walk_executor(cupboard_229)', '
open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', 'walk_executor(sink_231)', 'walk
_executor(table_226)', 'walk_executor(dishwasher_1001)', 'switchoff_executor(dishwasher_1001)', 'ope
n_executor(dishwasher_1001)', 'walk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor
(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_executor(bowl_2072)', 'grab_
executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)'
, 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin
_executor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishw
asher_1001)']","Time consume: 114 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 19",1,Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,"Put milk, turkey, egg, fish and chicken on the table in dining room.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'open_e
xecutor(milk_2074) (Failed)', 'open_executor(milk_2074) (Failed)', 'open_executor(milk_2074) (Failed
)', 'open_executor(milk_2074) (Failed)', 'grab_executor(milk_2074)', 'walk_executor(table_123)', 'pu
t_executor(milk_2074, table_123)', 'walk_executor(food_turkey_2071)', 'grab_executor(food_turkey_207
1)', 'walk_executor(table_123)', 'put_executor(food_turkey_2071, table_123)', 'walk_executor(food_eg
g_2053)', 'grab_executor(food_egg_2053)', 'walk_executor(table_123)', 'put_executor(food_egg_2053, t
able_123)', 'walk_executor(food_fish_2054)', 'grab_executor(food_fish_2054)', 'walk_executor(table_1
23)', 'put_executor(food_fish_2054, table_123)', 'walk_executor(food_chicken_2050)', 'grab_executor(
food_chicken_2050)', 'walk_executor(table_123)', 'put_executor(food_chicken_2050, table_123)']","Time consume: 202 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 21",1,Scene_id: 2
cdl_dataset/dataset/Prepare_dinner/g1.txt,Boil some rice by pot.,"['walk_executor(stove_2090)', 'open_executor(stove_2090)', 'walk_executor(oven_141)', 'open_executor
(oven_141)', 'walk_executor(pot_2093)', 'grab_executor(pot_2093)', 'walk_executor(stove_2090)', 'put
_executor(pot_2093, stove_2090)', 'walk_executor(pot_2093)', 'open_executor(pot_2093)', 'walk_execut
or(stove_2090)', 'close_executor(stove_2090)', 'switchon_executor(stove_2090)', 'walk_executor(pot_2
093)']","Time consume: 61 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 21","Keystate: k1 - Requires: 12 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_e
xecutor(kitchen_counter_123)', 'walk_executor(kitchen_counter_122)', 'walk_executor(kitchen_counter_
119)', 'walk_executor(food_chicken_2089)', 'grab_executor(food_chicken_2089)', 'walk_executor(cuttin
g_board_2123)', 'put_executor(food_chicken_2089, cutting_board_2123)', 'walk_executor(knifeblock_76)
', 'walk_executor(knife_2035)', 'walk_executor(ironing_board_2144)', 'walk_executor(cupboard_118)', 
'open_executor(cupboard_118)', 'walk_executor(table_114)', 'walk_executor(knife_2122)', 'grab_execut
or(knife_2122)', 'walk_executor(food_chicken_2089)', 'cut_executor(food_chicken_2089)', 'grab_execut
or(food_chicken_2089)', 'walk_executor(fridge_126)', 'putin_executor(food_chicken_2089, fridge_126)'
, 'close_executor(fridge_126)']","Time consume: 136 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 22",1,Scene_id: 1
cdl_dataset/dataset/Drink/g1.txt,Get a cup of water.,"['walk_executor(table_127)', 'walk_executor(sink_133)', 'walk_executor(cupboard_131)', 'open_executo
r(cupboard_131)', 'walk_executor(cupboard_130)', 'walk_executor(kitchen_counter_128)', 'walk_executo
r(kitchen_counter_129)', 'walk_executor(table_123)', 'walk_executor(cup_2087)', 'grab_executor(cup_2
087)', 'walk_executor(sink_133)', 'putin_executor(cup_2087, sink_133)', 'walk_executor(cup_2087)', '
grab_executor(cup_2087)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'walk_execu
tor(sink_133)', 'putin_executor(cup_2087, sink_133)', 'walk_executor(faucet_134)', 'switchon_executo
r(faucet_134)', 'walk_executor(cup_2087)', 'grab_executor(cup_2087)', 'walk_executor(faucet_134)', '
switchoff_executor(faucet_134)']","Time consume: 49 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 23",1,Scene_id: 2
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_64)', 'switchon_ex
ecutor(light_64)']","Time consume: 15 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 25",1,Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g2.txt,"Wash the fish at first. Then put milk, turkey, eggs, fish and chicken on the table in dining room.","['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'wash_e
xecutor(food_fish_2093)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_execut
or(kitchen_counter_123)', 'walk_executor(microwave_135)', 'open_executor(microwave_135)', 'walk_exec
utor(cupboard_117)', 'walk_executor(oven_127)', 'open_executor(oven_127)', 'walk_executor(sink_120)'
, 'walk_executor(table_114)', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'put_executor(
milk_2115, table_114)', 'walk_executor(food_turkey_2112)', 'grab_executor(food_turkey_2112)', 'walk_
executor(table_114)', 'put_executor(food_turkey_2112, table_114)', 'walk_executor(food_egg_2092)', '
grab_executor(food_egg_2092)', 'walk_executor(table_114)', 'put_executor(food_egg_2092, table_114)',
 'walk_executor(food_fish_2093)', 'grab_executor(food_fish_2093)', 'walk_executor(table_114)', 'put_
executor(food_fish_2093, table_114)', 'walk_executor(food_chicken_2089)', 'grab_executor(food_chicke
n_2089)', 'walk_executor(table_114)', 'put_executor(food_chicken_2089, table_114)']","Time consume: 164 seconds
Exp_helper query times: 1
Guidance query times: 2
library scale: 25","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 1.0",Scene_id: 1
cdl_dataset/dataset/Iron_clothes/g4.txt,"Iron a shirt, and put it in on the bed.","['walk_executor(ironing_board_2099)', 'walk_executor(iron_2117)', 'plugin_executor(iron_2117)', 'swi
tchon_executor(iron_2117)', 'walk_executor(ironing_board_2099)', 'walk_executor(washing_machine_2041
)', 'open_executor(washing_machine_2041)', 'walk_executor(walllamp_289)', 'walk_executor(bed_376)', 
'walk_executor(cupboard_130)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_e
xecutor(sink_133)', 'walk_executor(bathroom_cabinet_305)', 'open_executor(bathroom_cabinet_305)', 'w
alk_executor(walllamp_44)', 'walk_executor(bathroom_counter_306)', 'walk_executor(shower_303)', 'wal
k_executor(towel_rack_298)', 'walk_executor(home_office_161)', 'walk_executor(door_38)', 'walk_execu
tor(microwave_149)', 'open_executor(microwave_149)', 'walk_executor(drawing_389)', 'walk_executor(be
nch_125)', 'walk_executor(nightstand_262)', 'walk_executor(table_127)', 'walk_executor(tvstand_135)'
, 'walk_executor(light_258)', 'walk_executor(tablelamp_236)', 'walk_executor(vacuum_cleaner_2094)', 
'walk_executor(nightstand_373)', 'walk_executor(bed_264)', 'walk_executor(clothes_jacket_2078)', 'wa
lk_executor(toilet_302)', 'open_executor(toilet_302)', 'walk_executor(light_384)', 'walk_executor(ba
thtub_297)', 'walk_executor(basket_for_clothes_2040)', 'grab_executor(clothes_shirt_2114)', 'walk_ex
ecutor(ironing_board_2099)', 'put_executor(clothes_shirt_2114, ironing_board_2099)', 'walk_executor(
clothes_shirt_2114)', 'wash_executor(clothes_shirt_2114)', 'walk_executor(iron_2117)', 'switchoff_ex
ecutor(iron_2117)', 'plugout_executor(iron_2117)', 'grab_executor(iron_2117)', 'plugin_executor(iron
_2117)', 'switchon_executor(iron_2117)', 'switchoff_executor(iron_2117)', 'plugout_executor(iron_211
7)', 'walk_executor(clothes_shirt_2114)', 'grab_executor(clothes_shirt_2114)', 'walk_executor(bed_26
4)', 'put_executor(clothes_shirt_2114, bed_264)']","Time consume: 271 seconds
Exp_helper query times: 5
Guidance query times: 0
library scale: 25","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(closetdrawer_116)', 'walk_executor(closetdrawer_117)', 'walk_executor(light_245)', '
walk_executor(closetdrawer_121)', 'walk_executor(orchid_244)', 'walk_executor(closetdrawer_120)', 'w
alk_executor(table_355)', 'walk_executor(spectacles_2082)', 'grab_executor(spectacles_2082)', 'walk_
executor(coffee_table_2068)', 'put_executor(spectacles_2082, coffee_table_2068)', 'walk_executor(boo
k_2066)', 'grab_executor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2066, c
offee_table_2068)']","Time consume: 58 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 27",1,Scene_id: 0
